name	       		Rock_rock_platform
type	       		none
subject_to_gravity	1
subject_to_hole		1
no_adjust_base		0
lifespan       		1
noquake 		1
nolife			1

palette 		data/bgs/underground/palette_objects.gif






anim	idle
	loop	0
	delay	7
	offset	9 9
	bouncefactor	2
	frame	data/bgs/underground/traps/stalactite/rock_stalactite1.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite2.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite3.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite1.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite2.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite3.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite1.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite2.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite3.gif
	delay	6
	frame	data/chars/misc/empty.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite3.gif
	frame	data/chars/misc/empty.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite3.gif
	frame	data/chars/misc/empty.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite3.gif
	frame	data/chars/misc/empty.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite3.gif
	frame	data/chars/misc/empty.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite3.gif
	frame	data/chars/misc/empty.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite3.gif
	frame	data/chars/misc/empty.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite3.gif
	frame	data/chars/misc/empty.gif
	frame	data/bgs/underground/traps/stalactite/rock_stalactite3.gif
	@cmd	killentity getlocalvar("self")
	frame	data/chars/misc/empty.gif
		
#|edited by openBor Stats v 0.67
		
