name    Dungeon_spike_trap1
type trap
shadow  0
nolife 1
nomove 1 1
setlayer 0
offscreenkill   9999

hostile player npc obstacle
candamage player npc obstacle

palette		data/bgs/dungeon/dungeon_misc.gif







anim	attack
	loop	1
	delay	7
	offset	216 17
	hitfx	data/sounds/slash.wav
	attack2	0 0 432 17 19 1 1 1 0 0
	frame	data/bgs/dungeon/traps/spikes1.gif
	delay	1
	attack2	0 0 0 0
	frame	data/bgs/dungeon/traps/spikes1.gif
		
anim	idle
	loop	1
	delay	7
	offset	216 17
	hitfx	data/sounds/slash.wav
	attack2	0 0 432 17 19 1 1 1 0 0
	frame	data/bgs/dungeon/traps/spikes1.gif
	delay	1
	attack2	0 0 0 0
	frame	data/bgs/dungeon/traps/spikes1.gif
		
#|edited by openBor Stats v 0.67
		
