name  		Hidden_7
type		obstacle
health	1
facing	  	1
setlayer 	-1
antigravity	100
offscreenkill   9999
shadow		0
nomove	1
nolife	1
subject_to_wall 0
subject_to_obstacle 0
subject_to_gravity 0
load		D._Klopman

animationscript  data/scripts/escript.c

palette		data/bgs/library/palette_object.gif




anim	death
	delay	10
	offset	2 2
	frame	data/chars/misc/empty.gif
	@cmd	spawn02 "D._Klopman" 280 175 0
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	@cmd	suicide
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	0
	delay	100
	offset	37 104
	bbox	-20 -20 10 20
	platform	21 69 -10 -10 10 10 10 10
	frame	data/bgs/library/walls/wall_library_old_8.gif
		
#|edited by openBor Stats v 0.67
		
