name	        BS
type	        none
subject_to_gravity 1
subject_to_hole	1
no_adjust_base	0
lifespan        2
noquake 	1

palette 	 data/chars/skeleton/skeleton.gif
alternatepal	 data/chars/skeleton/blink.gif

anim	idle
	delay	25
	offset	5 12
	bouncefactor	2
	frame	data/chars/skeleton/bs.gif
	delay	6
	frame	data/chars/skeleton/bs.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/skeleton/bs.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/skeleton/bs.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/skeleton/bs.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/skeleton/bs.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/skeleton/bs.gif
	frame	data/chars/misc/empty.gif
		
#|edited by openBor Stats v 0.67
		
