name    	 Esqueleto_npc
health           2
speed            6
type    	 enemy
nopain           1
noquake  	 1
nodrop  	 2
death   	 1
offscreenkill 	500
score 200 -1
animationscript  data/scripts/escript.c
takedamagescript data/scripts/blink.c
load		 Bone
icon 		data/chars/misc/bgmonster.gif

palette 	data/chars/skeleton/skeleton.gif
alternatepal	 data/chars/skeleton/blink.gif
















anim	death
	delay	5
	offset	43 74
	sound	data/sounds/skeletondie.wav
	frame	data/chars/misc/empty.gif
	@cmd	tosserM "BS" 8 34 0 2.5
	@cmd	tosserM "BR" 5 26 0 1.5
	@cmd	tosserM "BA" 8 25 0.3 1.5
	@cmd	tosserM "BA" -3 27 -0.3 1.5
	@cmd	tosserM "BL" 5 12 0.3 1
	@cmd	tosserM "BL" -8 14 -0.3 1
	frame	data/chars/misc/empty.gif
	delay	200
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	1
	delay	20
	offset	43 74
	bbox	40 25 20 50
	frame	data/chars/skeleton/walk1.gif
		
anim	spawn
	loop	0
	delay	60
	offset	43 74
	bbox	40 25 20 50
	frame	data/chars/skeleton/walk1.gif
		
anim	walk
	loop	1
	delay	12
	offset	43 74
	bbox	40 25 20 50
	frame	data/chars/skeleton/walk1.gif
	frame	data/chars/skeleton/walk2.gif
	frame	data/chars/skeleton/walk3.gif
	frame	data/chars/skeleton/walk4.gif
		
#|edited by openBor Stats v 0.67
		
