name    	 Anfauglir
health           27
speed            6
type    	 enemy
sleepwait        10
noquake  	 1
nopain  	 1
nodrop  	 2
death   	 1
nodieblink       3
offscreenkill  500
score 400 -1
hostile         player npc
candamage 	player npc

defense normal9 3 0 0 0 0 0 0

icon 		data/chars/misc/bgmonster.gif

animationscript  data/scripts/escript.c
takedamagescript data/scripts/blink.c

palette 	 data/chars/anfauglir/idle1.gif
alternatepal	 data/chars/anfauglir/blink.gif




























anim	attack1
	range	25 100
	rangea	0 0
	delay	3
	offset	71 105
	bbox	30 30 90 75
	sound	data/sounds/growl.wav
	attack	30 30 90 75 12 0 0 0 0 0
	frame	data/chars/anfauglir/idle2.gif
	frame	data/chars/anfauglir/idle1.gif
	frame	data/chars/anfauglir/idle2.gif
	frame	data/chars/anfauglir/idle1.gif
	frame	data/chars/anfauglir/idle2.gif
	frame	data/chars/anfauglir/idle1.gif
	frame	data/chars/anfauglir/idle2.gif
	frame	data/chars/anfauglir/idle1.gif
	frame	data/chars/anfauglir/idle2.gif
	frame	data/chars/anfauglir/idle1.gif
	delay	1
	move	1
	frame	data/chars/anfauglir/attack1a.gif
	frame	data/chars/anfauglir/attack1a.gif
	frame	data/chars/anfauglir/attack1a.gif
	frame	data/chars/anfauglir/attack1a.gif
	frame	data/chars/anfauglir/attack1a.gif
	frame	data/chars/anfauglir/attack1a.gif
	frame	data/chars/anfauglir/attack1a.gif
	frame	data/chars/anfauglir/attack1a.gif
	frame	data/chars/anfauglir/attack1a.gif
	attack	0 0 0 0 0 0
	frame	data/chars/anfauglir/attack1a.gif
	hitfx	data/sounds/slash.wav
	attack2	105 42 30 35 25 1 0 0 0 0
	frame	data/chars/anfauglir/attack1b.gif
	hitfx	data/sounds/beat1.wav
	attack	30 30 90 75 12 0 0 0 0 0
	frame	data/chars/anfauglir/attack1b.gif
	hitfx	data/sounds/slash.wav
	attack2	105 42 30 35 25 1 0 0 0 0
	frame	data/chars/anfauglir/attack1b.gif
	hitfx	data/sounds/beat1.wav
	attack	30 30 90 75 12 0 0 0 0 0
	frame	data/chars/anfauglir/attack1b.gif
	hitfx	data/sounds/slash.wav
	attack2	105 42 30 35 25 1 0 0 0 0
	frame	data/chars/anfauglir/attack1b.gif
	hitfx	data/sounds/beat1.wav
	attack	30 30 90 75 12 0 0 0 0 0
	frame	data/chars/anfauglir/attack1b.gif
	hitfx	data/sounds/slash.wav
	attack2	105 42 30 35 25 1 0 0 0 0
	frame	data/chars/anfauglir/attack1b.gif
	hitfx	data/sounds/beat1.wav
	attack	30 30 90 75 12 0 0 0 0 0
	frame	data/chars/anfauglir/attack1b.gif
	hitfx	data/sounds/slash.wav
	attack2	105 42 30 35 25 1 0 0 0 0
	frame	data/chars/anfauglir/attack1b.gif
	attack2	0 0 0 0 0
	frame	data/chars/anfauglir/attack1b.gif
	bbox	30 45 90 60
	hitfx	data/sounds/slash.wav
	attack2	110 55 25 35 19 0 0 0 0 0
	frame	data/chars/anfauglir/attack1c.gif
	hitfx	data/sounds/beat1.wav
	attack	30 30 90 75 12 0 0 0 0 0
	frame	data/chars/anfauglir/attack1c.gif
	hitfx	data/sounds/slash.wav
	attack2	110 55 25 35 19 0 0 0 0 0
	frame	data/chars/anfauglir/attack1c.gif
	hitfx	data/sounds/beat1.wav
	attack	30 30 90 75 12 0 0 0 0 0
	frame	data/chars/anfauglir/attack1c.gif
	hitfx	data/sounds/slash.wav
	attack2	110 55 25 35 19 0 0 0 0 0
	frame	data/chars/anfauglir/attack1c.gif
	hitfx	data/sounds/beat1.wav
	attack	30 30 90 75 12 0 0 0 0 0
	frame	data/chars/anfauglir/attack1c.gif
	hitfx	data/sounds/slash.wav
	attack2	110 55 25 35 19 0 0 0 0 0
	frame	data/chars/anfauglir/attack1c.gif
	hitfx	data/sounds/beat1.wav
	attack	30 30 90 75 12 0 0 0 0 0
	frame	data/chars/anfauglir/attack1c.gif
	hitfx	data/sounds/slash.wav
	attack2	110 55 25 35 19 0 0 0 0 0
	frame	data/chars/anfauglir/attack1c.gif
	hitfx	data/sounds/beat1.wav
	attack	30 30 90 75 12 0 0 0 0 0
	frame	data/chars/anfauglir/attack1c.gif
	hitfx	data/sounds/slash.wav
	attack2	110 55 25 35 19 0 0 0 0 0
	frame	data/chars/anfauglir/attack1d.gif
	hitfx	data/sounds/beat1.wav
	attack	30 30 90 75 12 0 0 0 0 0
	frame	data/chars/anfauglir/attack1d.gif
	hitfx	data/sounds/slash.wav
	attack2	110 55 25 35 19 0 0 0 0 0
	frame	data/chars/anfauglir/attack1d.gif
	hitfx	data/sounds/beat1.wav
	attack	30 30 90 75 12 0 0 0 0 0
	frame	data/chars/anfauglir/attack1d.gif
	hitfx	data/sounds/slash.wav
	attack2	110 55 25 35 19 0 0 0 0 0
	frame	data/chars/anfauglir/attack1d.gif
	hitfx	data/sounds/beat1.wav
	attack	30 30 90 75 12 0 0 0 0 0
