name	Bafo_shot_3_p
type	pshot
candamage enemy obstacle
speed   1
remove  0
lifespan 5
antigravity      100
offscreenkill	50

animationscript data/scripts/cscript.c

anim	idle
	loop	1
	delay	7
	offset	10 10
	hitfx	data/sounds/burnt.wav
	burn	1 1 18 18 6 19 0 0 0 0
	drawmethod	256 256 0 0 0 0 0 0 0
	frame	data/chars/bafomet/magic/bafo_shot3.gif
	@cmd	groundkill
	drawmethod	256 256 0 0 0 0 0 0 90
	frame	data/chars/bafomet/magic/bafo_shot3.gif
	@cmd	groundkill
	drawmethod	256 256 0 0 0 0 0 0 180
	frame	data/chars/bafomet/magic/bafo_shot3.gif
	@cmd	groundkill
	drawmethod	256 256 0 0 0 0 0 0 270
	frame	data/chars/bafomet/magic/bafo_shot3.gif
		
#|edited by openBor Stats v 0.67
		
