name    	Cazadora
health   42
nomove  	1
type		enemy
cantgrab 	1
nodrop  	2
death	 	1
nodieblink 	2
nopain  	1
antigravity	100
score		700 -1
subject_to_platform 0
setlayer        10
offscreenkill	300
candamage	player npc
hostile		player npc

defense normal6 4 0 0 0 0 0 0
defense schock 4 0 0 0 0 0 0

diesound  	data/sounds/cazadora_die.wav

icon		data/chars/misc/bgmonster.gif

palette		data/chars/cazadora/partis01.png
alternatepal	data/chars/cazadora/parblink.png

animationscript  data/scripts/escript.c
takedamagescript data/scripts/blink.c







anim	death
	delay	1
	offset	60 112
	frame	data/chars/cazadora/partisD.png
	delay	40
	@cmd	degravity 0.5
	@cmd	leaper -1 1 1
	frame	data/chars/cazadora/partisD.png
	delay	3
	frame	data/chars/cazadora/partisDa.png
	frame	data/chars/cazadora/partisDb.png
	frame	data/chars/cazadora/partisDc.png
	frame	data/chars/cazadora/partisDd.png
	frame	data/chars/cazadora/partisDe.png
	frame	data/chars/cazadora/partisDf.png
	frame	data/chars/cazadora/partisDg.png
	delay	10
	frame	data/chars/cazadora/partisDh.png
	frame	data/chars/cazadora/partisDi.png
	frame	data/chars/cazadora/partisDj.png
	@cmd	suicide
	frame	data/chars/misc/empty.gif
		
anim	follow1
	delay	5
	offset	60 112
	bbox	17 14 87 92
	hitfx	data/sounds/slash.wav
	attack2	17 14 87 92 19 1 0 0 0 0
	frame	data/chars/cazadora/partis05.png
	sound	data/sounds/swipe.wav
	frame	data/chars/cazadora/partis06.png
	frame	data/chars/cazadora/partis07.png
	frame	data/chars/cazadora/partis08.png
	frame	data/chars/cazadora/partis09.png
	@cmd	target 4 4 0 0 1 1
	frame	data/chars/cazadora/partis10.png
	frame	data/chars/cazadora/partis11.png
	frame	data/chars/cazadora/partis12.png
	frame	data/chars/cazadora/partis05.png
	loop	0
	bbox	7 56 106 12
	attack2	7 56 106 12 19 1 0 0 0 0
	frame	data/chars/cazadora/partis07.png
	delay	20
	frame	data/chars/cazadora/partis07.png
	delay	40
	@cmd	dash 0 0
	bbox	7 56 106 12
	attack2	7 56 106 12 19 1 0 0 0 0
	frame	data/chars/cazadora/partis07.png
	delay	20
	@cmd	dasher 0 0 0 0
	bbox	7 56 106 12
	attack2	7 56 106 12 19 1 0 0 0 0
	frame	data/chars/cazadora/partis07.png
	delay	40
	@cmd	returner 40
	frame	data/chars/cazadora/partis07.png
	delay	10
	attack2	0
	@cmd	dasher 0 0 0 0
	frame	data/chars/cazadora/partis07.png
	bbox	17 14 87 92
	@cmd	beidle
	frame	data/chars/cazadora/partis05.png
		
anim	follow2
	delay	5
	offset	60 112
