name	        CThunder
type	        none
nolife          1
lifespan        1
antigravity     100
death   	1
hostile         player npc
candamage	player npc shot
subject_to_wall 1
subject_to_basemap 1
subject_to_platform 1

animationscript data/scripts/prscript.c

palette         data/chars/creature/tech/palette_thunder.gif










anim	death
	delay	5
	offset	20 19
	frame	data/chars/misc/empty.gif
	@cmd	tosserM "Rock1" 8 34 0 2.5
	@cmd	tosserM "Rock2" 5 26 0 1.5
	@cmd	tosserM "Rock3" 8 25 0.3 1.5
	@cmd	tosserM "Rock2" -3 27 -0.3 1.5
	@cmd	tosserM "Rock1" 5 12 0.3 1
	@cmd	tosserM "Rock3" -8 14 -0.3 1
	frame	data/chars/misc/empty.gif
	delay	200
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	1
	delay	1
	offset	20 19
	shock	0 0 40 19 19 11 0 0 0 0
	hitfx	data/sounds/hit_thunder.wav
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder1.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder1.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder1.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder1.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder1.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder2.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder2.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder2.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder2.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder2.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder3.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder3.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder3.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder3.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder3.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder4.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder4.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder4.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder4.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder4.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder5.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder5.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder5.gif
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder5.gif
	shock	0
	@cmd	groundkill
	frame	data/chars/creature/tech/thunder5.gif
		
anim	spawn
	loop	0
	delay	5
	offset	20 19
	shock	0 0 40 19 19 11 0 0 0 0
	sound	data/sounds/thunder.wav
	frame	data/chars/creature/tech/thunder5.gif
		
#|edited by openBor Stats v 0.67
		
