name	Driade_
health          100
speed           0
type    	enemy
noquake  	1
nopain  	1
nodrop  	2
death   	1
nodieblink	2
hostile        	npc player
candamage       npc player
offscreenkill 	500
score 2500 -1
nomove 	1 0
cantgrab 	1
nodrop 	2
falldie 	1
defense normal 0.75 0 0 0 0 0 0
defense normal2 0.75 0 0 0 0 0 0
defense normal15 2 0 0 0 0 0 0
defense normal16 1.5 0 0 0 0 0 0
defense normal21 0.75 0 0 0 0 0 0
defense schock 0.75 0 0 0 0 0 0

diesound         data/sounds/die3.wav

icon		data/chars/driade/bgdriade.gif
load            DRose
load            DHiedra

palette          data/chars/driade/driade_palette.gif
alternatepal     data/chars/driade/blink_palette.gif
animationscript  data/scripts/EScript.c
takedamagescript data/scripts/blink.c






























anim	attack
	range	0 100
	loop	0
	offset	72 107
	bbox	58 28 36 42
	attack	55 30 30 75 19 0 1 0 0 0
	delay	7
	frame	data/chars/driade/attack2a.gif
	frame	data/chars/driade/attack2b.gif
	frame	data/chars/driade/attack2c.gif
	frame	data/chars/driade/attack2d.gif
	frame	data/chars/driade/attack2a.gif
	frame	data/chars/driade/attack2b.gif
	frame	data/chars/driade/attack2c.gif
	frame	data/chars/driade/attack2d.gif
	frame	data/chars/driade/attack2e.gif
	frame	data/chars/driade/attack2f.gif
	frame	data/chars/driade/attack2g.gif
	frame	data/chars/driade/attack2h.gif
	frame	data/chars/driade/attack2i.gif
	frame	data/chars/driade/attack2j.gif
	frame	data/chars/driade/attack2k.gif
	frame	data/chars/driade/attack2l.gif
	frame	data/chars/driade/attack2ll.gif
	frame	data/chars/driade/attack2m.gif
	frame	data/chars/driade/attack2n.gif
	delay	7
	@cmd	spawnM "DHiedra" 40 0 0
	@cmd	spawnM "DHiedra" -40 0 0
	@cmd	spawnM "DHiedra" 70 0 0
	@cmd	spawnM "DHiedra" -70 0 0
	@cmd	spawnM "DHiedra" -100 0 0
	@cmd	spawnM "DHiedra" -130 0 0
	@cmd	spawnM "DHiedra" 130 0 0
	sound	data/sounds/hiedra.wav
	frame	data/chars/driade/attack2o.gif
	delay	7
	sound	data/sounds/hiedra.wav
	frame	data/chars/driade/attack2p.gif
	frame	data/chars/driade/attack2q.gif
	sound	data/sounds/hiedra.wav
	frame	data/chars/driade/attack2r.gif
