name	        PRose
type	        none
nolife          1
health          1
lifespan        0.6
antigravity     1
death   	1
subject_to_wall 1
subject_to_platform 1

palette         data/chars/driade/driade_palette.gif


anim	death
	loop	0
	delay	3
	offset	15 15
	sound	data/sounds/explosion.wav
	frame	data/chars/creature/tech/explo1.gif
	frame	data/chars/creature/tech/explo2.gif
	frame	data/chars/creature/tech/explo3.gif
	frame	data/chars/creature/tech/explo4.gif
	frame	data/chars/creature/tech/explo5.gif
	frame	data/chars/creature/tech/explo6.gif
	frame	data/chars/creature/tech/explo7.gif
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	0
	delay	2
	offset	12 11
	frame	data/chars/driade/rosehit1.gif
	frame	data/chars/driade/rosehit2.gif
	frame	data/chars/driade/rosehit3.gif
	frame	data/chars/driade/rosehit4.gif
	frame	data/chars/driade/rosehit5.gif
	frame	data/chars/driade/rosehit6.gif
	frame	data/chars/driade/rosehit7.gif
	frame	data/chars/driade/rosehit8.gif
	frame	data/chars/driade/rosehit9.gif
		
#|edited by openBor Stats v 0.67
		
