name  		Ectoplasma
health		12
nomove  	1
type		enemy
cantgrab 	1
nodrop		2
death		1
alpha		1
Score           200 -1
hostile         player npc
candamage       player npc
antigravity     100
subject_to_wall 0
subject_to_obstacle 0
subject_to_platform 0

defense normal3 2 0 0 0 0 0 0
defense normal6 2 0 0 0 0 0 0
defense normal15 2 0 0 0 0 0 0

diesound  	data/sounds/ghostdie.wav
icon 		data/chars/misc/bgmonster.gif

palette		data/chars/ghost/estoplasma_palette.gif

animationscript data/scripts/cscript.c








anim	death
	delay	7
	offset	35 45
	frame	data/chars/ghost/death1a.gif
	delay	3
	frame	data/chars/ghost/death2a.gif
	delay	4
	frame	data/chars/ghost/death2b.gif
	delay	7
	frame	data/chars/ghost/death3a.gif
	frame	data/chars/ghost/death4a.gif
	@cmd	suicide
	frame	data/chars/misc/empty.gif
		
anim	follow1
	delay	5
	offset	35 45
	frame	data/chars/ghost/idle1a.gif
	@cmd	dasher -2 0 0 1
	frame	data/chars/ghost/idle2a.gif
	frame	data/chars/ghost/idle3a.gif
	frame	data/chars/ghost/idle1a.gif
	frame	data/chars/ghost/idle2a.gif
	@cmd	dasher 0 0 0 1
	@cmd	beidle
	frame	data/chars/ghost/idle3a.gif
		
anim	idle
	loop	1
	delay	9
	offset	35 45
	bbox	15 20 35 20
	followcond	1
	followani	1
	attack6	15 20 35 20 12 0 1 1 0 0
	DOT	1 1 3 20 1
	frame	data/chars/ghost/idle1a.gif
	@cmd	target 0.8 0.8 0 -20 0 1
	@cmd	dash 0 0
	frame	data/chars/ghost/idle2a.gif
	frame	data/chars/ghost/idle3a.gif
	frame	data/chars/ghost/idle1a.gif
	@cmd	target 0.8 0.8 0 -20 0 1
	@cmd	dash 0 0
	frame	data/chars/ghost/idle2a.gif
	attack6	0
	frame	data/chars/ghost/idle3a.gif
		
anim	pain
	delay	5
	offset	35 45
	frame	data/chars/ghost/idle1a.gif
	@cmd	dasher -3 0 0 1
	frame	data/chars/ghost/idle2a.gif
	frame	data/chars/ghost/idle3a.gif
	frame	data/chars/ghost/idle1a.gif
	frame	data/chars/ghost/idle2a.gif
	@cmd	dasher 0 0 0 1
	@cmd	beidle
	frame	data/chars/ghost/idle3a.gif
		
anim	spawn
	delay	9
	offset	35 45
	frame	data/chars/ghost/spawn1a.gif
	frame	data/chars/ghost/spawn2a.gif
	frame	data/chars/ghost/spawn3a.gif
	frame	data/chars/ghost/spawn4a.gif
	frame	data/chars/ghost/idle1a.gif
		
#|edited by openBor Stats v 0.67
		
