name    	Bumeran
type    	none
facing          1
nolife  	1
antigravity	50
lifespan   	15
subject_to_hole 1
no_adjust_base  0
subject_to_platform 1
candamage  	player
offscreenkill	100
animationscript	data/scripts/escript.c

palette		data/chars/items/weapons.gif





anim	follow1
@script
    void self = getlocalvar("self");
    void player = getentityproperty(self, "opponent");
    int iPI = getentityproperty(player,"playerindex");

    setglobalvar(iPI+"0", 7);

    killentity(self); //Suicide!
	@end_script	
	delay	500
	offset	11 22
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	0
	delay	1
	followanim	1
	followcond	1
	offset	11 22
	hitfx	data/sounds/BEEP.WAV
	attack20	2 0 17 22 0 0 1 1 0 0
	noreflect	1
	frame	data/chars/items/boomerang/idle1a.gif
	delay	70
	frame	data/chars/items/boomerang/idle1a.gif
	delay	2
	frame	data/chars/items/boomerang/idle1b.gif
	delay	70
	frame	data/chars/items/boomerang/idle1a.gif
	delay	2
	frame	data/chars/items/boomerang/idle1b.gif
	delay	70
	frame	data/chars/items/boomerang/idle1a.gif
	delay	2
	frame	data/chars/items/boomerang/idle1b.gif
	delay	70
	frame	data/chars/items/boomerang/idle1a.gif
	delay	2
	frame	data/chars/items/boomerang/idle1b.gif
	delay	70
	frame	data/chars/items/boomerang/idle1a.gif
	delay	2
	frame	data/chars/items/boomerang/idle1b.gif
	delay	70
	frame	data/chars/items/boomerang/idle1a.gif
	delay	2
	frame	data/chars/items/boomerang/idle1b.gif
	delay	70
	frame	data/chars/items/boomerang/idle1a.gif
	delay	2
	frame	data/chars/items/boomerang/idle1b.gif
	delay	6
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/items/boomerang/idle1a.gif
	delay	10
	@cmd	suicide
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
		
anim	spawn
	loop	0
	delay	3
	offset	11 22
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	delay	2
	followanim	1
	followcond	1
	hitfx	data/sounds/BEEP.WAV
	attack20	0 0 8 19 0 0 1 1 0 0
	noreflect	1
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	delay	1
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
	frame	data/chars/items/boomerang/idle1a.gif
	frame	data/chars/items/boomerang/idle1b.gif
		
#|edited by openBor Stats v 0.67
		
