name    	___100
score           100
type    	item
facing          1
antigravity	30
candamage  	player
icon 		data/chars/misc/bgmoney.gif
palette 	data/chars/items/coin/coin_palette_100.gif




anim	idle
	loop	1
	delay	5
	offset	4 9
	itembox	0 0 6 6
	frame	data/chars/items/coin/idle1.gif
	frame	data/chars/items/coin/idle2.gif
	frame	data/chars/items/coin/idle3.gif
	frame	data/chars/items/coin/idle4.gif
		
anim	spawn
	loop	0
	delay	5
	offset	4 9
	itembox	0 0 6 6
	frame	data/chars/items/coin/idle1.gif
	frame	data/chars/items/coin/idle2.gif
	frame	data/chars/items/coin/idle3.gif
	frame	data/chars/items/coin/idle4.gif
		
#|edited by openBor Stats v 0.67
		
