name	    	Legion_corpse
health          3
speed		5
nomove          1 0
type		enemy
nolife		1
nopain		1
cantgrab 	1
nodrop	 	2
death	 	1
nodieblink 	2
aggression	20
offscreenkill	100
subject_to_platform 0
hostile         player npc
candamage 	player npc
score   0 -1

defense normal3 2 0 0 0 0 0 0
defense normal4 2 0 0 0 0 0 0
defense normal5 2 0 0 0 0 0 0
defense normal6 2 0 0 0 0 0 0
defense normal19 2 0 0 0 0 0 0
defense burn 2 0 0 0 0 0 0

icon 		data/chars/misc/bgmonster.gif
takedamagescript data/scripts/blink.c

palette		data/chars/legion/corpse/legion_corpses.gif











anim	attack1
	range	0 400
	loop	1
	delay	18
	jumpframe	0 0 0.2 0
	offset	17 57
	bbox	5 5 20 50
	attack	0 5 25 50 6 0 0 0 0 0
	frame	data/chars/legion/corpse/walk1a.gif
	frame	data/chars/legion/corpse/walk1b.gif
	frame	data/chars/legion/corpse/walk1c.gif
	delay	17
	frame	data/chars/legion/corpse/walk1d.gif
	delay	1
	attack	0
	frame	data/chars/legion/corpse/walk1d.gif
		
anim	death
	delay	12
	offset	17 57
	subentity	edie
	spawnframe	0 0 0 30 0
	frame	data/chars/legion/corpse/pain1a.gif
	delay	3
	frame	data/chars/legion/corpse/pain1b.gif
	frame	data/chars/legion/corpse/pain1c.gif
	frame	data/chars/legion/corpse/pain1d.gif
	frame	data/chars/legion/corpse/pain1e.gif
	frame	data/chars/legion/corpse/pain1f.gif
	frame	data/chars/legion/corpse/pain1g.gif
	frame	data/chars/legion/corpse/pain1h.gif
	frame	data/chars/legion/corpse/pain1i.gif
	frame	data/chars/legion/corpse/pain1j.gif
	frame	data/chars/legion/corpse/pain1k.gif
	delay	32
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	1
	delay	18
	offset	17 57
	bbox	5 5 20 50
	attack	5 5 20 50 6 0 0 0 0 0
	frame	data/chars/legion/corpse/walk1a.gif
	frame	data/chars/legion/corpse/walk1b.gif
	frame	data/chars/legion/corpse/walk1c.gif
	delay	17
	frame	data/chars/legion/corpse/walk1d.gif
	delay	1
	attack	0
	frame	data/chars/legion/corpse/walk1d.gif
		
anim	spawn
	loop	0
	delay	1
	offset	17 57
	frame	data/chars/legion/corpse/walk1a.gif
		
#|edited by openBor Stats v 0.67
		
