name    	Legion_fall_corpse
health		1
type    	enemy
lifespan  	5
stealth         300
nomove		1
nolife          1
death		1
antigravity	50
offscreenkill	100
noquake 	1
setlayer        200
subject_to_wall 0
subject_to_obstacle 0
subject_to_platform 0
subject_to_gravity 1
subject_to_hole	1
no_adjust_base	0
candamage           player npc
hostile		none
animationscript data/scripts/prscript.c


palette 	 data/chars/legion/corpse/legion_corpses.gif
alternatepal	 data/chars/legion/corpse/legion_corpses.gif










anim	death
	loop	0
	delay	12
	offset	35 68
	subentity	edie
	spawnframe	0 0 0 30 0
	frame	data/chars/legion/corpse/fall_corpse1a.gif
	delay	3
	frame	data/chars/legion/corpse/fall_corpse1b.gif
	frame	data/chars/legion/corpse/fall_corpse1c.gif
	frame	data/chars/legion/corpse/fall_corpse1d.gif
	frame	data/chars/legion/corpse/fall_corpse1e.gif
	frame	data/chars/legion/corpse/fall_corpse1f.gif
	frame	data/chars/legion/corpse/fall_corpse1g.gif
	frame	data/chars/legion/corpse/fall_corpse1h.gif
	frame	data/chars/legion/corpse/fall_corpse1i.gif
	delay	1
	@cmd	suicide
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	1
	delay	1
	offset	35 68
	bbox	26 35 16 16
	attack	26 35 16 16 6 0 1 0 0 0
	platform	1 1 -1 -1 1 1 1 1
	frame	data/chars/legion/corpse/fall_corpse1a.gif
	@cmd	groundkill
	frame	data/chars/legion/corpse/fall_corpse1a.gif
	@cmd	groundkill
	frame	data/chars/legion/corpse/fall_corpse1a.gif
	attack	0
	@cmd	groundkill
	frame	data/chars/legion/corpse/fall_corpse1a.gif
		
#|edited by openBor Stats v 0.67
		
