name    	Legion_fall_corpse_2
health		1
type    	enemy
lifespan  	5
nomove		1
nolife          1
death		1
antigravity	50
offscreenkill	100
setlayer        200
noquake 	1
subject_to_wall 0
subject_to_obstacle 0
subject_to_platform 0
subject_to_gravity 1
subject_to_hole	1
no_adjust_base	0
candamage           player npc
hostile		none
animationscript data/scripts/prscript.c


palette 	 data/chars/legion/corpse/legion_corpses.gif
alternatepal	 data/chars/legion/corpse/legion_corpses.gif










anim	death
	loop	0
	delay	12
	offset	35 68
	subentity	edie
	spawnframe	0 0 0 30 0
	frame	data/chars/legion/corpse/fall_corpse2a.gif
	delay	3
	frame	data/chars/legion/corpse/fall_corpse2b.gif
	frame	data/chars/legion/corpse/fall_corpse2c.gif
	frame	data/chars/legion/corpse/fall_corpse2d.gif
	frame	data/chars/legion/corpse/fall_corpse2e.gif
	frame	data/chars/legion/corpse/fall_corpse2f.gif
	frame	data/chars/legion/corpse/fall_corpse2g.gif
	frame	data/chars/legion/corpse/fall_corpse2h.gif
	frame	data/chars/legion/corpse/fall_corpse2i.gif
	delay	1
	@cmd	suicide
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	1
	delay	1
	offset	35 68
	bbox	26 35 16 16
	attack	26 35 16 16 6 0 1 0 0 0
	platform	1 1 -1 -1 1 1 1 1
	frame	data/chars/legion/corpse/fall_corpse2a.gif
	@cmd	groundkill
	frame	data/chars/legion/corpse/fall_corpse2a.gif
	@cmd	groundkill
	frame	data/chars/legion/corpse/fall_corpse2a.gif
	attack	0
	@cmd	groundkill
	frame	data/chars/legion/corpse/fall_corpse2a.gif
		
#|edited by openBor Stats v 0.67
		
