name	        Fire_Legion_blast
type	        none
nolife          1
speed 16
lifespan   	10
death   	1
remove 0
offscreenkill	9999
candamage       player npc
subject_to_wall 0
subject_to_platform 0
subject_to_basemap 0
load            fire_legion1a
load            fire_legion1b
animationscript  data/scripts/escript.c

palette   	data/chars/legion/magic/legion_fireblast1a.gif






anim	death
	loop	0
	delay	1
	offset	17 30
	sound	data/sounds/explosion.wav
	frame	data/chars/misc/empty.gif
	@cmd	shooter2 "fire_legion1a" 0 0 0 0
	frame	data/chars/misc/empty.gif
	@cmd	shooter2 "fire_legion1b" 0 0 0 0
	frame	data/chars/misc/empty.gif
	@cmd	suicide
	frame	data/chars/misc/empty.gif


anim	follow
	loop	0
	delay	1
	offset	17 30
	sound	data/sounds/explosion.wav
	frame	data/chars/misc/empty.gif
	@cmd	shooter2 "fire_legion1a" 0 0 0 0
	frame	data/chars/misc/empty.gif
	@cmd	shooter2 "fire_legion1b" 0 0 0 0
	frame	data/chars/misc/empty.gif
	@cmd	suicide
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	1
	delay	1
	offset	17 30
	hitfx	data/sounds/burnt.wav
	burn	2 9 27 13 19 11 0 0 0 0
	followanim	1
	followcond	1
	frame	data/chars/legion/magic/legion_fireblast1a.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1a.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1a.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1a.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1a.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1a.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1a.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1b.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1b.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1b.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1b.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1b.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1b.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1b.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1c.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1c.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1c.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1c.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1c.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1c.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/legion/magic/legion_fireblast1c.gif
		
#|edited by openBor Stats v 0.67
		
