name		 Leon_Belmont
type		 player
health		 100
mp		 100
mprate		 5
speed		 10
running		 20 3 2 1 1
cantgrab	 1
jumpmove	 2
jumpheight	 3
noquake		 1
bounce		 0
death		 1
nodieblink	 2
icon		 data/chars/leon/icon.gif
antigravity	 20
makeinv		 3 0
gfxshadow	 1
subject_to_wall  1
subject_to_platform 1


animationscript	 data/scripts/player.c
keyscript	 data/chars/leon/leonkey.c
takedamagescript data/scripts/invis.c

atchain		 1 2 3 1 2 3

com	a2	freespecial2
com	a3	freespecial3
com	a4	freespecial4




anim	attack1
	cancel	0 17 1 a2 freespecial2
	cancel	0 17 1 a3 freespecial3
	cancel	0 17 1 a4 freespecial4
	delay	5
	offset	161 141
	bbox	155 100 13 40
	frame	data/chars/leon/68.gif
	sound	data/sounds/whip.wav
	frame	data/chars/leon/69.gif
	frame	data/chars/leon/70.gif
	delay	3
	attack1	132 90 91 24 8
	frame	data/chars/leon/71.gif
	attack1	159 103 67 16 8
	frame	data/chars/leon/72.gif
	attack1	159 102 95 18 8
	frame	data/chars/leon/73.gif
	frame	data/chars/leon/74.gif
	delay	2
	frame	data/chars/leon/75.gif
	frame	data/chars/leon/75a.gif
	frame	data/chars/leon/76.gif
	frame	data/chars/leon/77.gif
	frame	data/chars/leon/75.gif
	frame	data/chars/leon/75a.gif
	frame	data/chars/leon/76.gif
	frame	data/chars/leon/77.gif
	frame	data/chars/leon/78.gif
	frame	data/chars/leon/79.gif
	attack	0
	delay	1
	bbox	153 98 15 43
	frame	data/chars/leon/1.gif
		
anim	attack2
	cancel	0 17 1 a2 freespecial2
	cancel	0 17 1 a3 freespecial3
	cancel	0 17 1 a4 freespecial4
	delay	5
	offset	161 141
	bbox	155 100 13 40
	sound	data/chars/leon/at1.wav
	frame	data/chars/leon/68.gif
	sound	data/sounds/whip.wav
	frame	data/chars/leon/69.gif
	frame	data/chars/leon/70.gif
	delay	3
	attack1	132 90 91 24 8
	frame	data/chars/leon/71.gif
	attack1	159 103 67 16 8
	frame	data/chars/leon/72.gif
	attack1	159 102 95 18 8
	frame	data/chars/leon/73.gif
	frame	data/chars/leon/74.gif
	delay	2
	frame	data/chars/leon/75.gif
	frame	data/chars/leon/75a.gif
	frame	data/chars/leon/76.gif
	frame	data/chars/leon/77.gif
	frame	data/chars/leon/75.gif
	frame	data/chars/leon/75a.gif
	frame	data/chars/leon/76.gif
	frame	data/chars/leon/77.gif
	frame	data/chars/leon/78.gif
	frame	data/chars/leon/79.gif
	attack	0
	delay	1
	bbox	153 98 15 43
	frame	data/chars/leon/1.gif
		
anim	attack3
	cancel	0 17 1 a2 freespecial2
	cancel	0 17 1 a3 freespecial3
	cancel	0 17 1 a4 freespecial4
	delay	5
	offset	161 141
	bbox	155 100 13 40
	sound	data/chars/leon/at2.wav
	frame	data/chars/leon/68.gif
	sound	data/sounds/whip.wav
	frame	data/chars/leon/69.gif
	frame	data/chars/leon/70.gif
	delay	3
	attack1	132 90 91 24 8
	frame	data/chars/leon/71.gif
	attack1	159 103 67 16 8
	frame	data/chars/leon/72.gif
	attack1	159 102 95 18 8
	frame	data/chars/leon/73.gif
	frame	data/chars/leon/74.gif
	delay	2
	frame	data/chars/leon/75.gif
	frame	data/chars/leon/75a.gif
	frame	data/chars/leon/76.gif
	frame	data/chars/leon/77.gif
	frame	data/chars/leon/75.gif
	frame	data/chars/leon/75a.gif
	frame	data/chars/leon/76.gif
	frame	data/chars/leon/77.gif
	frame	data/chars/leon/78.gif
	frame	data/chars/leon/79.gif
	attack	0
	delay	1
	bbox	153 98 15 43
	frame	data/chars/leon/1.gif
		
anim	death
	delay	6
	offset	161 141
	sound	data/chars/leon/dead.wav
	frame	data/chars/leon/44.gif
	frame	data/chars/leon/45.gif
	frame	data/chars/leon/46.gif
