name	Thunder_sh1
type	none
candamage enemy obstacle
speed	10
lifespan 1
remove 1

palette	data/chars/sheeba/magic/magic_palette.gif




anim	death
	loop	0
	delay	4
	offset	15 15
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	1
	delay	4
	offset	15 15
	hitfx	data/sounds/burnt.wav
	shock	2 2 25 25 3 0 0 0 0 0
	frame	data/chars/sheeba/magic/thunder2a.gif
	frame	data/chars/sheeba/magic/thunder2b.gif
	frame	data/chars/sheeba/magic/thunder2c.gif
	frame	data/chars/sheeba/magic/thunder2d.gif
	frame	data/chars/sheeba/magic/thunder2e.gif
	shock	0
	frame	data/chars/misc/empty.gif
		
#|edited by openBor Stats v 0.67
		
