name	        Windspell
type	        none
nolife          1
lifespan        0.7
antigravity     100
candamage       player npc

animationscript data/scripts/prscript.c

palette		data/chars/misc/ESpells/windspell/wind_spell_palette.gif






anim	idle
	loop	1
	delay	7
	offset	17 17
	hitfx	data/sounds/slash.wav
	attack10	2 2 30 30 19 0 0 0 0 0
	@cmd	groundkill
	frame	data/chars/misc/ESpells/windspell/wind1c.gif
	@cmd	groundkill
	frame	data/chars/misc/ESpells/windspell/wind1d.gif
	delay	6
	@cmd	groundkill
	frame	data/chars/misc/ESpells/windspell/wind1e.gif
	delay	1
	attack10	0
	@cmd	groundkill
	frame	data/chars/misc/ESpells/windspell/wind1e.gif
		
anim	spawn
	delay	7
	offset	17 17
	frame	data/chars/misc/ESpells/windspell/wind1a.gif
	sound	data/sounds/windspell.wav
	frame	data/chars/misc/ESpells/windspell/wind1b.gif
		
#|edited by openBor Stats v 0.67
		
