name	        BatSpawner
health		1
type	        None
antigravity	100
offscreenkill   1500
animationscript data/scripts/oscript.c
load         Chiroptera

palette 	data/chars/misc/empty.gif
alternatepal 	data/chars/misc/empty2.gif


anim	idle
	loop	1
	delay	1
	offset	72 96
	frame	data/chars/misc/empty.gif
	delay	80
	@cmd	offscreenkill 500 0
	frame	data/chars/misc/empty.gif
	@cmd	MspawnT "Chiroptera" 360 0 10 0
	frame	data/chars/misc/empty.gif
		
anim	spawn
	delay	10
	offset	1 1
	frame	data/chars/misc/empty.gif
	@cmd	clearE 5
	frame	data/chars/misc/empty.gif
		
#|edited by openBor Stats v 0.67
		
