name	Clowndie
type none
#alpha 6
nomove 1 1
antigravity 100
lifespan 1

anim	idle
	loop	0
	delay	3
	offset	68 68
	bbox    0 0 0 0
	frame	data/chars/misc/die/clowndie/dieclown1.gif
	frame	data/chars/misc/die/clowndie/dieclown2.gif
	frame	data/chars/misc/die/clowndie/dieclown3.gif
	frame	data/chars/misc/die/clowndie/dieclown4.gif
	frame	data/chars/misc/die/clowndie/dieclown5.gif
	frame	data/chars/misc/die/clowndie/dieclown6.gif
	frame	data/chars/misc/die/clowndie/dieclown7.gif
	frame	data/chars/misc/die/clowndie/dieclown8.gif
	frame	data/chars/misc/die/clowndie/dieclown9.gif
	frame	data/chars/misc/die/clowndie/dieclown10.gif
	frame	data/chars/misc/die/clowndie/dieclown11.gif
	frame	data/chars/misc/die/clowndie/dieclown12.gif
	frame	data/chars/misc/die/clowndie/dieclown13.gif
	frame	data/chars/misc/die/clowndie/dieclown14.gif
	frame	data/chars/misc/die/clowndie/dieclown15.gif
	frame	data/chars/misc/die/clowndie/dieclown16.gif
	frame	data/chars/misc/die/clowndie/dieclown17.gif
	frame	data/chars/misc/die/clowndie/dieclown18.gif
	frame	data/chars/misc/die/clowndie/dieclown19.gif
	frame	data/chars/misc/die/clowndie/dieclown20.gif
	frame	data/chars/misc/die/clowndie/dieclown21.gif
	frame	data/chars/misc/die/clowndie/dieclown22.gif
	frame	data/chars/misc/empty.gif

	
anim fall
	loop	0
	delay	4
	offset	68 68
	bbox    0 0 0 0
	frame	data/chars/misc/die/clowndie/dieclown1.gif
	frame	data/chars/misc/die/clowndie/dieclown2.gif
	frame	data/chars/misc/die/clowndie/dieclown3.gif
	frame	data/chars/misc/die/clowndie/dieclown4.gif
	frame	data/chars/misc/die/clowndie/dieclown5.gif
	frame	data/chars/misc/die/clowndie/dieclown6.gif
	frame	data/chars/misc/die/clowndie/dieclown7.gif
	frame	data/chars/misc/die/clowndie/dieclown8.gif
	frame	data/chars/misc/die/clowndie/dieclown9.gif
	frame	data/chars/misc/die/clowndie/dieclown10.gif
	frame	data/chars/misc/die/clowndie/dieclown11.gif
	frame	data/chars/misc/die/clowndie/dieclown12.gif
	frame	data/chars/misc/die/clowndie/dieclown13.gif
	frame	data/chars/misc/die/clowndie/dieclown14.gif
	frame	data/chars/misc/die/clowndie/dieclown15.gif
	frame	data/chars/misc/die/clowndie/dieclown16.gif
	frame	data/chars/misc/die/clowndie/dieclown17.gif
	frame	data/chars/misc/die/clowndie/dieclown18.gif
	frame	data/chars/misc/die/clowndie/dieclown19.gif
	frame	data/chars/misc/die/clowndie/dieclown20.gif
	frame	data/chars/misc/die/clowndie/dieclown21.gif
	frame	data/chars/misc/die/clowndie/dieclown22.gif
	frame	data/chars/misc/empty.gif

anim death
	loop	0
	delay	4
	offset	68 68
	bbox    0 0 0 0
	frame	data/chars/misc/die/clowndie/dieclown1.gif
	frame	data/chars/misc/die/clowndie/dieclown2.gif
	frame	data/chars/misc/die/clowndie/dieclown3.gif
	frame	data/chars/misc/die/clowndie/dieclown4.gif
	frame	data/chars/misc/die/clowndie/dieclown5.gif
	frame	data/chars/misc/die/clowndie/dieclown6.gif
	frame	data/chars/misc/die/clowndie/dieclown7.gif
	frame	data/chars/misc/die/clowndie/dieclown8.gif
	frame	data/chars/misc/die/clowndie/dieclown9.gif
	frame	data/chars/misc/die/clowndie/dieclown10.gif
	frame	data/chars/misc/die/clowndie/dieclown11.gif
	frame	data/chars/misc/die/clowndie/dieclown12.gif
	frame	data/chars/misc/die/clowndie/dieclown13.gif
	frame	data/chars/misc/die/clowndie/dieclown14.gif
	frame	data/chars/misc/die/clowndie/dieclown15.gif
	frame	data/chars/misc/die/clowndie/dieclown16.gif
	frame	data/chars/misc/die/clowndie/dieclown17.gif
	frame	data/chars/misc/die/clowndie/dieclown18.gif
	frame	data/chars/misc/die/clowndie/dieclown19.gif
	frame	data/chars/misc/die/clowndie/dieclown20.gif
	frame	data/chars/misc/die/clowndie/dieclown21.gif
	frame	data/chars/misc/die/clowndie/dieclown22.gif
	frame	data/chars/misc/empty.gif



