name	       		Underground_rock4
type	       		none
subject_to_gravity	1
subject_to_hole		1
no_adjust_base		0
lifespan         3
noquake 		1

palette 		data/chars/misc/rocks/sewer_rock_palette2.gif



anim	idle
	loop	0
	delay	50
	offset	7 12
	bouncefactor	2
	frame	data/chars/misc/rocks/sewer_rock4.gif
	delay	6
	frame	data/chars/misc/rocks/sewer_rock4.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/rocks/sewer_rock4.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/rocks/sewer_rock4.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/rocks/sewer_rock4.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/rocks/sewer_rock4.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/rocks/sewer_rock4.gif
	frame	data/chars/misc/empty.gif
		
#|edited by openBor Stats v 0.67
		
