name	        Underground_Rockwall2
type	        none
subject_to_gravity 1
subject_to_hole	1
no_adjust_base	0
lifespan        3
noquake 	1

palette 	data/chars/misc/rocks/underground_rockwall_palette.gif



anim	idle
	loop	0
	delay	50
	offset	9 19
	bouncefactor	2
	frame	data/chars/misc/rocks/underground_rockwall2.gif
	delay	6
	frame	data/chars/misc/rocks/underground_rockwall2.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/rocks/underground_rockwall2.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/rocks/underground_rockwall2.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/rocks/underground_rockwall2.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/rocks/underground_rockwall2.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/rocks/underground_rockwall2.gif
	frame	data/chars/misc/empty.gif
		
#|edited by openBor Stats v 0.67
		
