name    	 Soldado_
health           36
speed            8
type 		 enemy
blockodds        1
noquake  	 1
nodrop  	 2
nopain 		 1
aggression 	 9
death   	 1
nodieblink       3
turndelay       1
risetime        0
score 500 -1
offscreenkill   500
hostile  player npc
candamage player npc
animationscript	data/scripts/escript.c
takedamagescript data/scripts/blink.c

defense normal16 2 0 0 0 0 0 0
defense burn 1 0 0 2 0 0 0
defense shock 3 0 0 2 0 0 0

load Blooda

icon		 data/chars/misc/bgmonster.gif
palette 	 data/chars/npc/footman/walk1a.gif
alternatepal	 data/chars/npc/footman/blink.gif
























anim	attack1
	range	35 51
	rangea	0 80
	loop	0
	delay	4
	offset	55 112
	bbox	47 57 12 55
	frame	data/chars/npc/footman/attack1a.gif
	frame	data/chars/npc/footman/attack1b.gif
	attack2	0 75 31 35 9 0 0 0 0 0
	frame	data/chars/npc/footman/attack1c.gif
	frame	data/chars/npc/footman/attack1d.gif
	frame	data/chars/npc/footman/attack1e.gif
	attack2	15 43 41 12 9 0 0 0 0 0
	frame	data/chars/npc/footman/attack1f.gif
	attack2	63 0 10 40 9 0 0 0 0 0
	sound	data/sounds/throw_big.wav
	frame	data/chars/npc/footman/attack1g.gif
	attack2	87 21 33 34 9 0 0 0 0 0
	frame	data/chars/npc/footman/attack1h.gif
	delay	1
	attack2	93 15 47 65 9 0 0 0 0 0
	frame	data/chars/npc/footman/attack1i.gif
	frame	data/chars/npc/footman/attack1j.gif
	frame	data/chars/npc/footman/attack1i.gif
	frame	data/chars/npc/footman/attack1j.gif
	frame	data/chars/npc/footman/attack1i.gif
	frame	data/chars/npc/footman/attack1j.gif
	frame	data/chars/npc/footman/attack1i.gif
	frame	data/chars/npc/footman/attack1j.gif
	delay	8
	attack2	90 80 40 43 9 0 0 0 0 0
	frame	data/chars/npc/footman/attack1k.gif
	attack2	0 0 0 0 0 0 0 0
	delay	4
	frame	data/chars/npc/footman/attack1k.gif
	frame	data/chars/npc/footman/attack1c.gif
	frame	data/chars/npc/footman/attack1b.gif
		
anim	block
	loop	0
	delay	1
	offset	55 112
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	delay	1
	frame	data/chars/npc/footman/attack1b.gif
		
anim	blockpain
	rangea	0 57
	range	-12 40
	loop	0
	delay	1
	offset	55 112
	sound	data/sounds/ulur.wav
	move	-6
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	move	-5
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	move	-4
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	move	-3
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	move	-2
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	move	-1
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	move	0
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1b.gif
	delay	1
	frame	data/chars/npc/footman/attack1b.gif
		
anim	death
	loop	0
	delay	3
	offset	55 112
	sound	data/sounds/knightdie.wav
	subentity	Blooda
	spawnframe	0 38 0 33 0
	frame	data/chars/npc/footman/death1a.gif
	frame	data/chars/npc/footman/death1b.gif
	frame	data/chars/npc/footman/death1c.gif
	frame	data/chars/npc/footman/death1d.gif
	frame	data/chars/npc/footman/death1e.gif
	frame	data/chars/npc/footman/death1f.gif
	frame	data/chars/npc/footman/death1g.gif
	frame	data/chars/npc/footman/death1h.gif
	@cmd	suicide
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	0
	delay	7
	offset	55 112
	bbox	47 52 16 59
	frame	data/chars/npc/footman/walk1a.gif
		
anim	jumpattack
	loop	0
	delay	7
	offset	55 112
	bbox	47 52 16 59
	frame	data/chars/npc/footman/jumpattack1a.gif
	frame	data/chars/npc/footman/jumpattack1b.gif
	frame	data/chars/npc/footman/jumpattack1c.gif
	attack2	80 87 35 36 9 0 0 0 0 0
	frame	data/chars/npc/footman/jumpattack1d.gif
		
anim	land
	loop	0
	delay	7
	offset	55 112
	bbox	47 52 16 59
	frame	data/chars/npc/footman/walk1a.gif
		
anim	spawn
	loop	0
	delay	7
	offset	55 112
	bbox	47 52 16 59
	frame	data/chars/npc/footman/walk1a.gif
		
anim	upper
	range	-13 35
	rangea	60 135
	loop	0
	delay	2
	offset	55 112
	bbox	47 57 12 55
	frame	data/chars/npc/footman/attack1a.gif
	frame	data/chars/npc/footman/attack1b.gif
	attack2	0 75 31 35 9 0 0 0 0 0
	frame	data/chars/npc/footman/attack1c.gif
	frame	data/chars/npc/footman/attack1d.gif
	frame	data/chars/npc/footman/attack1e.gif
	attack2	15 43 41 12 9 0 0 0 0 0
	frame	data/chars/npc/footman/attack1f.gif
	attack2	63 0 10 40 9 0 0 0 0 0
	sound	data/sounds/throw_big.wav
	delay	18
	frame	data/chars/npc/footman/attack1g.gif
	delay	12
	attack2	15 43 41 12 9 0 0 0 0 0
	frame	data/chars/npc/footman/attack1f.gif
	delay	2
	attack2	0 75 31 35 9 0 0 0 0 0
	frame	data/chars/npc/footman/attack1e.gif
	frame	data/chars/npc/footman/attack1d.gif
	frame	data/chars/npc/footman/attack1c.gif
	attack2	0 0 0 0 0 0 0 0
	frame	data/chars/npc/footman/attack1b.gif
	frame	data/chars/npc/footman/attack1a.gif
		
anim	walk
	loop	1
	delay	17
	offset	55 112
	bbox	47 52 16 59
	frame	data/chars/npc/footman/walk1a.gif
	frame	data/chars/npc/footman/walk1b.gif
	frame	data/chars/npc/footman/walk1c.gif
	frame	data/chars/npc/footman/walk1b.gif
		
#|edited by openBor Stats v 0.67
		
