name    	 GDragon
health  	 100
nomove   	 1 1
type    	 enemy
nolife  	 1
noquake  	 1
nopain  	 1
nodrop  	 2
setlayer  	 100
death   	 1
score   	 5000 1
antigravity  	 100
subject_to_wall  0
subject_to_obstacle 0
subject_to_platform 0
hostile  	 player
icon		 data/chars/gaibon/icon2.gif
lifebarstatus    5 181 1 1 1 0 0 -300 -300
lifeposition     297 3 
nameposition     203 11
animationscript  data/scripts/escript.c
takedamagescript data/scripts/blink.c
load	         Rib
load	         RBase
load    	 cfball

palette	         data/chars/wdragon/head01.gif
alternatepal	 data/chars/wdragon/blink.gif
alternatepal	 data/chars/wdragon/gold.gif
alternatepal	 data/chars/wdragon/white.gif
alternatepal	 data/chars/wdragon/red.gif


anim spawn
	delay	1
	offset	9 17
	attack	5 6 25 22 5 1
	frame	data/chars/wdragon/head01.gif
	bbox	5 6 25 22
        @cmd    spawnChainPoint "RBase" 0 0 0 0
	frame	data/chars/wdragon/head01.gif
        @cmd    spawnChainLink "Rib" 0 0.5 0 0 0
        @cmd    spawnChainLink "Rib" 0 0.125 0 0 0
        @cmd    spawnChainLink "Rib" 0 0.25 0 0 0
        @cmd    spawnChainLink "Rib" 0 0.375 0 0 0
        @cmd    spawnChainLink "Rib" 0 0.625 0 0 0
        @cmd    spawnChainLink "Rib" 0 0.75 0 0 0
        @cmd    spawnChainLink "Rib" 0 0.875 0 0 0
	frame	data/chars/wdragon/head01.gif
	delay	72
        @cmd    dasher 1 0 0 1
	frame	data/chars/wdragon/head01.gif
	delay	1
	attack	0
        @cmd    getxy
        @cmd    stop
	frame	data/chars/wdragon/head01.gif

anim idle
	loop	1
	delay	20
	offset	9 17
        @cmd    clearL
	bbox	5 6 25 22
	attack	5 6 25 22 5 1
	frame	data/chars/wdragon/head01.gif
	attack	0
	frame	data/chars/wdragon/head01.gif
	delay	1
        @cmd    attack0 "ANI_FOLLOW1"
	frame	data/chars/wdragon/head01.gif

anim follow1
	delay	1
	offset	9 17
	bbox	5 6 25 22
	attack	5 6 25 22 5 1
	frame	data/chars/wdragon/head01.gif
	delay	40
	frame	data/chars/wdragon/head01.gif
        @cmd    targetT 40 150 -20 0
        @cmd    dash
	frame	data/chars/wdragon/head01.gif
	delay	15
        @cmd    targetT 40 150 -20 0
        @cmd    dash
	frame	data/chars/wdragon/head02.gif
        @cmd    targetT 40 150 -20 0
        @cmd    dash
	frame	data/chars/wdragon/head03.gif
        @cmd    targetT 40 150 -20 0
        @cmd    dash
	frame	data/chars/wdragon/head04.gif
        @cmd    shooter2 "cfball" 12 0 1 0
        @cmd    targetT 40 150 -20 0
        @cmd    dash
	frame	data/chars/wdragon/head04.gif
        @cmd    targetT 40 150 -20 0
        @cmd    dash
	frame	data/chars/wdragon/head04.gif
        @cmd    targetT 40 150 -20 0
        @cmd    dash
	frame	data/chars/wdragon/head03.gif
        @cmd    targetT 40 150 -20 0
        @cmd    dash
	frame	data/chars/wdragon/head02.gif
        @cmd    stop
        @cmd    looper 3 9
	frame	data/chars/wdragon/head01.gif
#	delay	1
#        @cmd    stop
#	frame	data/chars/wdragon/head01.gif
	delay	10
	frame	data/chars/wdragon/head02.gif
	frame	data/chars/wdragon/head03.gif
	frame	data/chars/wdragon/head04.gif
	delay	20
        @cmd    shooter2 "cfball" 12 0 1 0
	frame	data/chars/wdragon/head04.gif
        @cmd    shooter2 "cfball" 12 0 1 0
	frame	data/chars/wdragon/head04.gif
        @cmd    shooter2 "cfball" 12 0 1 0
	frame	data/chars/wdragon/head04.gif
	delay	10
	frame	data/chars/wdragon/head03.gif
        @cmd    returner 50
	frame	data/chars/wdragon/head02.gif
	delay	40
	frame	data/chars/wdragon/head01.gif
	attack	0
        @cmd    stop
        @cmd    anichange "ANI_FOLLOW2"
	frame	data/chars/wdragon/head01.gif

anim follow2
	delay	1
	offset	9 17
	bbox	5 6 25 22
	attack	5 6 25 22 5 1
	frame	data/chars/wdragon/head01.gif
	delay	10
	frame	data/chars/wdragon/head02.gif
	frame	data/chars/wdragon/head03.gif
	delay	40
	frame	data/chars/wdragon/head04.gif
	delay	50
	attack	6 4 23 27 15 1
        @cmd    targetdashT 50 0 -10
	frame	data/chars/wdragon/head04.gif
	delay	20
        @cmd    stop
	attack	5 6 25 22 5 1
	frame	data/chars/wdragon/head01.gif
	delay	40
        @cmd    returner 40
	frame	data/chars/wdragon/head02.gif
	delay	10
        @cmd    stop
        @cmd    looper 1 3
	frame	data/chars/wdragon/head01.gif
	attack	0
        @cmd    beidle
	frame	data/chars/wdragon/head01.gif

#Not used!
anim walk
	loop	1
	delay	12
	offset	9 17
	bbox	5 6 25 22
	attack	5 6 25 22 5 1
	frame	data/chars/wdragon/head01.gif
	attack	0
	frame	data/chars/wdragon/head01.gif


anim death
	delay	1
	offset	9 27
	bouncefactor	2
	frame	data/chars/wdragon/head03.gif
        @cmd    stop
        @cmd    degravity 0
	frame	data/chars/wdragon/head03.gif
        @cmd    clearL
	frame	data/chars/wdragon/head03.gif
	delay	50
	frame	data/chars/wdragon/head03.gif

#Not used!
anim pain
	delay	5
	offset	9 17
	attack	5 6 25 22 5 1
	frame	data/chars/wdragon/head01.gif
	attack	0
	frame	data/chars/wdragon/head01.gif

#Not used!
anim fall
	offset	9 17
	delay	10
        @cmd    stop
	frame	data/chars/wdragon/head01.gif
        @cmd    beidle
	frame	data/chars/wdragon/head01.gif

#Not used!
anim rise
	delay	5
	offset	9 17
	frame	data/chars/wdragon/head01.gif
