name    	Copa
health          1
type    	enemy
lifespan        10
nomove		1
nolife          1
nopain 1
death		1
antigravity	50
subject_to_wall 0
subject_to_obstacle 0
subject_to_platform 0
score 0
candamage       player npc
hostile		none
animationscript data/scripts/prscript.c

load		Copa_debris1a
load		Copa_debris1b
load		Copa_debris1c
load		Copa_debris1d

palette		data/chars/countess/copa/copa1a.gif












anim	death
	delay	1
	offset	9 9
	frame	data/chars/misc/empty.gif
	@cmd	tosserM "Copa_debris1a" 8 25 0.3 1.5
	@cmd	tosserM "Copa_debris1c" -3 27 -0.3 1.5
	@cmd	tosserM "Copa_debris1b" 5 12 0.4 1
	@cmd	tosserM "Copa_debris1d" -8 14 -0.4 1.2
	frame	data/chars/misc/empty.gif
	@cmd	suicide
	frame	data/chars/misc/empty.gif
		
anim	follow1
	delay	1
	offset	9 9
	platform	1 1 -1 -1 1 1 1 1
	frame	data/chars/misc/empty.gif
	@cmd	tosserM "Copa_debris1a" 8 25 0.3 1.5
	@cmd	tosserM "Copa_debris1c" -3 27 -0.3 1.5
	@cmd	tosserM "Copa_debris1b" 5 12 0.4 1
	@cmd	tosserM "Copa_debris1d" -8 14 -0.4 1.2
	frame	data/chars/misc/empty.gif
	@cmd	suicide
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	1
	delay	7
	followanim	1
	followcond	1
	offset	7 10
	bbox	5 2 3 10
	attack	5 2 3 10 3 0 1 0 0 0
	platform	1 1 -1 -1 1 1 1 1
	frame	data/chars/countess/copa/copa1a.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/countess/copa/copa1b.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/countess/copa/copa1c.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/countess/copa/copa1d.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/countess/copa/copa1e.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/countess/copa/copa1f.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/countess/copa/copa1g.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/countess/copa/copa1h.gif
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/countess/copa/copa1i.gif
	@cmd	groundchange "ANI_FOLLOW1"
	delay	6
	frame	data/chars/countess/copa/copa1j.gif
	attack	0
	delay	1
	@cmd	groundchange "ANI_FOLLOW1"
	frame	data/chars/countess/copa/copa1j.gif
		
#|edited by openBor Stats v 0.67
		
